from_id,to_id,method,distance_km,time_min,cost_baht
1,2,driving-car,38.61,32.6,754.47
1,3,driving-car,20.98,23.6,1131.98
1,4,driving-car,42.51,36.1,1108.62
1,5,driving-car,21.14,25.7,816.41
1,6,driving-car,53.99,36.2,687.84
1,7,driving-car,83.54,58.5,956.07
1,8,driving-car,26.68,24.1,374.22
1,9,driving-car,70.07,46.9,1468.69
1,10,driving-car,57.92,38.7,1121.82
1,11,driving-car,79.38,52.8,1410.19
1,12,driving-car,20.25,18.2,289.03
1,13,driving-car,12.03,12.6,1085.63
1,14,driving-car,12.32,12.5,963.94
1,15,driving-car,14.61,17.5,421.88
1,16,driving-car,10.82,11.7,367.88
1,17,driving-car,8.64,10.6,354.72
1,18,driving-car,16.6,18.4,518.52
1,19,driving-car,5.98,5.8,644.65
1,20,driving-car,63.59,46.4,1019.56
1,21,driving-car,13.69,15.0,486.44
1,22,driving-car,11.77,12.7,761.56
1,23,driving-car,5.92,5.6,297.52
1,24,driving-car,62.86,41.4,887.17
1,25,driving-car,9.74,12.3,526.54
1,26,driving-car,4.83,8.9,575.35
1,27,driving-car,5.11,6.4,873.38
1,28,driving-car,5.36,5.1,348.05
1,29,driving-car,8.58,12.8,652.08
1,30,driving-car,11.02,11.0,738.81
1,31,driving-car,6.01,9.8,214.37
1,32,driving-car,8.14,9.7,733.2
1,33,driving-car,8.58,12.8,342.74
1,34,driving-car,13.15,16.7,279.1
1,35,driving-car,12.83,15.6,1072.31
1,36,driving-car,16.84,18.0,1115.45
1,37,driving-car,10.19,11.0,927.39
1,38,driving-car,7.12,7.2,453.93
1,39,driving-car,55.18,39.3,645.43
1,40,driving-car,55.05,39.1,1172.23
1,41,driving-car,56.54,38.1,965.23
1,42,driving-car,10.26,11.2,310.15
1,43,driving-car,28.53,30.1,782.4
1,44,driving-car,57.0,39.7,603.95
1,45,driving-car,60.47,42.4,1421.12
2,1,driving-car,38.98,29.5,653.24
2,3,driving-car,20.77,23.3,870.93
2,4,driving-car,11.94,14.7,492.62
2,5,driving-car,55.55,44.1,1028.73
2,6,driving-car,22.73,21.0,782.38
2,7,driving-car,49.75,43.2,677.75
2,8,driving-car,11.92,13.5,1084.57
2,9,driving-car,37.47,31.5,1105.88
2,10,driving-car,25.32,23.3,1156.61
2,11,driving-car,55.88,43.8,1368.82
