from_id,to_id,method,distance_km,time_min,cost_baht
1,2,motorbike,38.61,26.1,317.38
1,3,motorbike,20.98,18.9,176.34
1,4,motorbike,42.51,28.9,349.83
1,5,motorbike,21.14,20.5,177.62
1,6,motorbike,53.99,29.0,447.42
1,7,motorbike,83.54,46.8,715.67
1,8,motorbike,26.68,19.3,221.94
1,9,motorbike,70.07,37.5,589.13
1,10,motorbike,57.92,30.9,480.82
1,11,motorbike,79.38,42.2,672.92
1,12,motorbike,20.25,14.6,170.5
1,13,motorbike,12.03,10.1,112.71
1,14,motorbike,12.32,10.0,114.74
1,15,motorbike,14.61,14.0,130.77
1,16,motorbike,10.82,9.4,104.24
1,17,motorbike,8.64,8.5,89.66
1,18,motorbike,16.6,14.7,144.7
1,19,motorbike,5.98,4.6,72.37
1,20,motorbike,63.59,37.1,530.81
1,21,motorbike,13.69,12.0,124.33
1,22,motorbike,11.77,10.1,110.89
1,23,motorbike,5.92,4.4,71.98
1,24,motorbike,62.86,33.1,524.24
1,25,motorbike,9.74,9.8,96.81
1,26,motorbike,4.83,7.2,64.89
1,27,motorbike,5.11,5.1,66.72
1,28,motorbike,5.36,4.1,68.34
1,29,motorbike,8.58,10.2,89.27
1,30,motorbike,11.02,8.8,105.64
1,31,motorbike,6.01,7.8,72.56
1,32,motorbike,8.14,7.8,86.41
1,33,motorbike,8.58,10.2,89.27
1,34,motorbike,13.15,13.3,120.55
1,35,motorbike,12.83,12.5,118.31
1,36,motorbike,16.84,14.4,146.38
1,37,motorbike,10.19,8.8,99.83
1,38,motorbike,7.12,5.8,79.78
1,39,motorbike,55.18,31.5,457.53
1,40,motorbike,55.05,31.2,456.42
1,41,motorbike,56.54,30.5,469.09
1,42,motorbike,10.26,9.0,100.32
1,43,motorbike,28.53,24.1,236.74
1,44,motorbike,57.0,31.7,473.0
1,45,motorbike,60.47,33.9,502.73
2,1,motorbike,38.98,23.6,320.34
2,3,motorbike,20.77,18.7,174.66
2,4,motorbike,11.94,11.7,112.08
2,5,motorbike,55.55,35.3,460.67
2,6,motorbike,22.73,16.8,190.34
2,7,motorbike,49.75,34.6,411.38
2,8,motorbike,11.92,10.8,111.94
2,9,motorbike,37.47,25.2,308.26
2,10,motorbike,25.32,18.6,211.06
2,11,motorbike,55.88,35.0,463.48
2,12,motorbike,14.13,11.0,127.41
2,13,motorbike,23.67,18.4,197.86
2,14,motorbike,29.18,24.2,241.94
2,15,motorbike,27.59,22.3,229.22
2,16,motorbike,23.11,16.6,193.38
2,17,motorbike,39.04,25.7,320.82
2,18,motorbike,29.56,24.2,244.98
2,19,motorbike,30.88,22.8,255.54
