from_id,to_id,method,distance_km,time_min,cost_baht
1,2,driving-car,38.61,32.6,317.38
1,3,driving-car,20.98,23.6,176.34
1,4,driving-car,42.51,36.1,349.83
1,5,driving-car,21.14,25.7,177.62
1,6,driving-car,53.99,36.2,447.42
1,7,driving-car,83.54,58.5,715.67
1,8,driving-car,26.68,24.1,221.94
1,9,driving-car,70.07,46.9,589.13
1,10,driving-car,57.92,38.7,480.82
1,11,driving-car,79.38,52.8,672.92
1,12,driving-car,20.25,18.2,170.5
1,13,driving-car,12.03,12.6,112.71
1,14,driving-car,12.32,12.5,114.74
1,15,driving-car,14.61,17.5,130.77
1,16,driving-car,10.82,11.7,104.24
1,17,driving-car,8.64,10.6,89.66
1,18,driving-car,16.6,18.4,144.7
1,19,driving-car,5.98,5.8,72.37
1,20,driving-car,63.59,46.4,530.81
1,21,driving-car,13.69,15.0,124.33
1,22,driving-car,11.77,12.7,110.89
1,23,driving-car,5.92,5.6,71.98
1,24,driving-car,62.86,41.4,524.24
1,25,driving-car,9.74,12.3,96.81
1,26,driving-car,4.83,8.9,64.89
1,27,driving-car,5.11,6.4,66.72
1,28,driving-car,5.36,5.1,68.34
1,29,driving-car,8.58,12.8,89.27
1,30,driving-car,11.02,11.0,105.64
1,31,driving-car,6.01,9.8,72.56
1,32,driving-car,8.14,9.7,86.41
1,33,driving-car,8.58,12.8,89.27
1,34,driving-car,13.15,16.7,120.55
1,35,driving-car,12.83,15.6,118.31
1,36,driving-car,16.84,18.0,146.38
1,37,driving-car,10.19,11.0,99.83
1,38,driving-car,7.12,7.2,79.78
1,39,driving-car,55.18,39.3,457.53
1,40,driving-car,55.05,39.1,456.42
1,41,driving-car,56.54,38.1,469.09
1,42,driving-car,10.26,11.2,100.32
1,43,driving-car,28.53,30.1,236.74
1,44,driving-car,57.0,39.7,473.0
1,45,driving-car,60.47,42.4,502.73
2,1,driving-car,38.98,29.5,320.34
2,3,driving-car,20.77,23.3,174.66
2,4,driving-car,11.94,14.7,112.08
2,5,driving-car,55.55,44.1,460.67
2,6,driving-car,22.73,21.0,190.34
2,7,driving-car,49.75,43.2,411.38
2,8,driving-car,11.92,13.5,111.94
2,9,driving-car,37.47,31.5,308.26
2,10,driving-car,25.32,23.3,211.06
2,11,driving-car,55.88,43.8,463.48
2,12,driving-car,14.13,13.8,127.41
2,13,driving-car,23.67,23.0,197.86
2,14,driving-car,29.18,30.2,241.94
2,15,driving-car,27.59,27.9,229.22
2,16,driving-car,23.11,20.7,193.38
2,17,driving-car,39.04,32.1,320.82
